menu,   0b00000001,1,1,11,17
user,   0b10000000,128,1,801,2049
f5  ,   0b01000000,64,1,401,1025
f6  ,   0b00100000,32,1,201,513
f7  ,   0b00010000,16,1,101,257
f8  ,   0b00001000,8,1,81,129
clrl,   0b00000100,4,1,41,65
clrd,   0b00000010,2,1,21,33
8,      0b00000001,1,2,12,18
9,      0b10000000,128,2,802,2050
0,      0b01000000,64,2,402,1026
-   ,   0b00100000,32,2,202,514
=   ,   0b00010000,16,2,102,258
back,   0b00001000,8,2,82,130
insl,   0b00000100,4,2,42,66
dell,   0b00000010,2,2,22,34
i   ,   0b00000001,1,3,13,19
o   ,   0b10000000,128,3,803,2051
p   ,   0b01000000,64,3,403,1027
[   ,   0b00100000,32,3,203,515
]   ,   0b00010000,16,3,103,259
 \  ,   0b00001000,8,3,83,131
insc,   0b00000100,4,3,43,67
delc,   0b00000010,2,3,23,35
j   ,   0b00000001,1,4,14,20
k   ,   0b10000000,128,4,804,2052
l   ,   0b01000000,64,4,404,1028
;   ,   0b00100000,32,4,204,516
'   ,   0b00010000,16,4,104,260
ret ,   0b00001000,8,4,84,132
cur ,   0b00000100,4,4,44,68
prev,   0b00000010,2,4,24,36
1,      0b00010000,16,5,105,261
m   ,   0b00000001,1,5,15,21
",   ", 0b10000000,128,5,805,2053
.   ,   0b01000000,64,5,405,1029
/   ,   0b00100000,32,5,205,517
sel ,   0b00001000,8,5,85,133
up  ,   0b00000100,4,5,45,69
next,   0b00000010,2,5,25,37
lalt,   0b01000000,64,6,406,1030
spce,   0b10000000,128,6,806,2054
ralt,   0b00100000,32,6,206,518
left,   0b00001000,8,6,86,134
down,   0b00000100,4,6,46,70
rght,   0b00000010,2,6,26,38
stop,   0b00000100,4,7,47,71
f1  ,   0b00100000,32,7,207,519
f2  ,   0b01000000,64,7,407,1031
f3  ,   0b10000000,128,7,807,2055
f4  ,   0b00000001,1,7,17,23
`~  ,   0b00010000,16,7,107,263
ctrl,   0b00001000,8,7,87,135
g   ,   0b00000010,2,7,27,39
3,      0b00010000,16,8,108,264
4,      0b00100000,32,8,208,520
5,      0b01000000,64,8,408,1032
6,      0b10000000,128,8,808,2056
7,      0b00000001,1,8,18,24
caps,   0b00001000,8,8,88,136
lshf,   0b00000010,2,8,28,40
rshf,   0b00000100,4,8,48,72
tab ,   0b00000010,2,9,29,41
q   ,   0b00000100,4,9,49,73
w   ,   0b00001000,8,9,89,137
e   ,   0b00010000,16,9,109,265
r   ,   0b00100000,32,9,209,521
t   ,   0b01000000,64,9,409,1033
y   ,   0b10000000,128,9,809,2057
u   ,   0b00000001,1,9,19,25
res ,   0b10000000,128,10,80A,2058
2,      0b00000010,2,10,2A,42
a   ,   0b00001000,8,10,8A,138
s   ,   0b00010000,16,10,10A,266
d   ,   0b00100000,32,10,20A,522
f   ,   0b01000000,64,10,40A,1034
h   ,   0b00000001,1,10,1A,26
pad7,   0b10000000,128,11,80B,2059
pad8,   0b00100000,32,11,20B,523
pad9,   0b00001000,8,11,8B,139
pade,   0b00000010,2,11,2B,43
pad4,   0b01000000,64,11,40B,1035
pad5,   0b00010000,16,11,10B,267
pad6,   0b00000100,4,11,4B,75
"pad,", 0b00000001,1,11,1B,27
pad*,   0b10000000,128,12,80C,2060
pad/,   0b00100000,32,12,20C,524
pad+,   0b00001000,8,12,8C,140
pad-,   0b00000010,2,12,2C,44
pad1,   0b01000000,64,12,40C,1036
pad2,   0b00010000,16,12,10C,268
pad3,   0b00000100,4,12,4C,76
padt,   0b00000001,1,12,1C,28
b1  ,   0b10000000,128,13,80D,2061
b2  ,   0b00100000,32,13,20D,525
b3  ,   0b00001000,8,13,8D,141
b4  ,   0b00000010,2,13,2D,45
pad0,   0b01000000,64,13,40D,1037
pad.,   0b00000100,4,13,4D,77
del ,   0b00000010,2,14,2E,46
z   ,   0b00001000,8,14,8E,142
x   ,   0b00010000,16,14,10E,270
c   ,   0b00100000,32,14,20E,526
v   ,   0b01000000,64,14,40E,1038
b   ,   0b10000000,128,14,80E,2062
n   ,   0b00000001,1,14,1E,30
prnt,   0b00000100,4,14,4E,78
